 ,,,,,,,"Black = In the past
Red = < 3 days but not past
Orange = 3 to 7 days from now
Yellow = 7 to 30 days
Green = > 30 days",,"Black = In the past
Red = < 3 days but not past
Orange = 3 to 7 days from now
Yellow = 7 to 30 days
Green = > 30 days","$2,396,710",,,
Opportunity,Point Person,Support Role,Notes,Date Last Confirmed,Mailing?,Question/Answers,Due Date,Announce Date,Funding Arrives (Assume Win Date+30-45 days),Value,Entity,Source,Applying Entity
New Ventures,Saxon,Wes,Rolling deadline - emailing them,,,N/A,2/9/2026,,,,,,
Angel 8,Saxon,Wes,Rolling deadline,,,N/A,2/9/2026,,,,,,
ACRE Application,Saxon,Wes,Rolling deadline - apply as Chicago,,,N/A,2/9/2026,,,,,,
Evergreen,Saxon,Wes,Rolling deadline - apply as Chicago,,,N/A,2/9/2026,,,,,,
Clean Tech San Diego,Saxon,Wes,Rolling deadline - apply with Southern California address,,,N/A,2/9/2026,,,,,,
Village Global,Saxon,Wes,Rolling Deadline,,,N/A,2/9/2026,,,,,,
VentureWell Ocean Accelerator,Saxon,Wes,,,,N/A,2/12/2026,,,,,,
Economist Article (Business),Saxon,N/A,"Wait for reply from finance folks, if they've selected, great, if not, try here and then get published",,,N/A,2/20/2026,,,,,,
Defense - ERIS 7 Minute Video,Saxon,Wes,"https://sam.gov/opp/ceb71172068a4ac1b74b3e423b1a4cf1/view 

https://higherlogicdownload.s3.amazonaws.com/IN3/35a681f5-987c-41b5-a0b5-fa0233da708c/UploadedImages/ERIS_Marketplace_Checklist_Final.pdf ",x,,N/A,2/28/26,,,,,,
Defense - BOTAA (ME) - Geophysical Sensors and Data Fusion,Saxon,Wes,"OneNode White Paper

White Papers

Cale following up with Dustin and Jason",x,,N/A,2/28/26,,,,,,
Chevron/NREL,Saxon,N/A,,,,,3/1/2026,,,,,,
DOE Indian Energy Fellow,Saxon,N/A,Just check if open in Mayhttps://www.energy.gov/indianenergy/tribal-energy-innovator-fellowship-program,,,,5/1/2026,,,,,,
RFP - Gainesville Website Redesign,Saxon,Wes,Why so long out? Call them,,,,6/24/2026,,,,,,
Commercial Solutions Opening - Geospatial Research Lab,Saxon,Wes,"Deadline— Open through June 30, 2026
Geospatial Research Lab CSO

Commercial Solutions Opening",,,,6/30/2026,,,,,,
ESA Funding (Resilience),Saxon,N/A,Saxon review for if UK small biz yet,,,,Rolling,Rolling,,,,,
Scottish / UK Funding,Saxon,N/A,Saxon review for if UK small biz yet (also financing available),,,,Rolling,Rolling,,,,,
E2C Expert Match Program,Saxon,N/A,Cedarstack,7/7/2025,,,Rolling,Rolling,Rolling,,NREL,Federal,
Cisco Social Impact,Saxon,N/A,Cedarstack,7/6/2025,,,Rolling,Rolling,Rolling,,,,
NDN Community Self-Determination,Saxon,N/A,Cedarstack,7/6/2025,,,TBA,TBA,TBA,,NDN,Private,
